,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
794,7.75,3.141274657157109,-72.06615510726233,5.1525812784725895,1.924247174482749,10.82842712474619,132,199.7741935483871,228
795,5.75,2.7057581899030048,-83.83878165895713,3.333640804401902,2.1761457335774375,7.707106781186548,135,147.1304347826087,157
796,43.0,7.399277020331919,-71.22817910229449,9.371024434139455,6.059000208926873,25.899494936611664,145,219.02906976744185,235
797,22.5,5.352372348458314,-86.73779923132012,6.048334863312433,5.189815853295367,18.535533905932738,152,224.1888888888889,246
798,17.0,4.652426491681278,46.336995956208725,5.397354154102431,4.064793644694347,14.82842712474619,136,213.23529411764707,245
799,22.75,5.382025607773058,77.96234676481329,7.036572600920474,4.230354136776737,18.071067811865476,135,205.42857142857142,221
800,3.75,2.1850968611841584,-90.00003218077504,2.8284271247461903,1.632993161855452,6.0,158,203.93333333333334,221
801,134.25,13.074112164146964,-69.8448329670644,14.685762740536548,12.348588619294143,48.384776310850235,133,183.98696461824954,212
802,18.25,4.820437914901168,75.94151551094701,6.667743538517565,3.6974892720726635,16.535533905932738,132,216.94520547945206,239
803,9.25,3.431831258788849,84.61889822817655,4.293115149339154,2.911926460464711,10.82842712474619,134,226.54054054054055,249
804,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,175,195.88888888888889,209
805,36.0,6.770275002573076,71.52878821022911,8.959749103927244,5.361317872315375,24.071067811865476,132,219.52083333333334,246
806,49.0,7.898654169668588,-64.54553835684017,8.666895825021653,7.4889390917475644,27.14213562373095,136,209.41326530612244,227
807,4.75,2.4592453796829674,-77.17952468446995,2.772349116888545,2.1478476084574902,6.707106781186548,132,198.47368421052633,217
808,2.5,1.7841241161527712,-90.00003218077504,2.8284271247461903,1.0,5.0,141,199.5,215
809,28.25,5.997417539138688,84.26483118996224,9.911443538123768,4.067788534568684,24.48528137423857,135,186.04424778761063,208
810,4.25,2.326213245840639,85.69220654836944,3.2928353530040484,1.5898042497551639,6.707106781186548,145,206.1764705882353,221
811,5.25,2.5854414729132054,-90.00003218077504,4.0,1.632993161855452,8.0,150,165.0,175
812,15.75,4.478115991081385,72.6444200925413,7.031901022500924,2.9174563721193585,15.949747468305832,148,197.42857142857142,213
813,10.75,3.6996385101659595,-79.26861650428994,6.076441779224338,2.2900902814769415,12.828427124746192,169,220.95348837209303,238
814,6.75,2.9316150714175193,-67.33051191274407,4.046050584831815,2.1372286424059546,9.121320343559642,138,210.2962962962963,234
815,59.75,8.722159296752494,68.58302517237775,11.31061621920846,9.4235938769819,43.970562748477136,132,206.76569037656904,240
816,19.25,4.950743503369154,30.21783134159355,7.034021891486325,3.9548837874250498,18.071067811865476,137,203.62337662337663,247
817,21.75,5.262410103554244,-84.15843616750762,9.855325202665885,2.9661953608102736,21.242640687119284,133,203.98850574712642,222
818,36.75,6.840435166640879,64.4938435068276,8.373884909426316,5.9753098340043405,24.363961030678926,133,212.87074829931973,230
819,34.25,6.6036697681803656,85.20808442358377,10.025350729486005,4.754082351879627,24.77817459305202,136,212.1897810218978,232
820,37.5,6.90988298942671,84.05040438141079,11.94182943798169,4.125476229309577,27.071067811865476,136,215.05333333333334,235
821,9.5,3.477898169151024,68.48598720670437,4.742969042783899,2.658823351052523,11.535533905932736,156,219.31578947368422,235
822,86.25,10.479356408358663,75.67333971030061,16.410640070609894,7.623527559869493,46.38477631085023,132,169.85797101449276,189
823,61.5,8.848967849484623,-75.29754887458166,10.039336705290731,8.582316876126555,33.89949493661167,133,152.0040650406504,229
824,41.25,7.247146419131151,78.06323657764456,8.959043189453467,6.204995813457595,25.65685424949238,133,223.71515151515152,241
825,22.0,5.292567428401227,73.23455484626635,6.494608966609551,4.630713204686504,18.363961030678926,142,212.51136363636363,231
826,96.75,11.098915530497878,-80.58381325526382,17.128657843007783,7.718162153095913,46.09188309203679,137,204.7674418604651,222
827,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,169,225.22222222222223,246
828,11.25,3.7846987830302403,-71.01760606037502,5.385964561322278,2.6712512564423294,12.242640687119284,152,197.24444444444444,214
829,9.75,3.523362819972964,89.05120186698545,5.981624111442223,2.081015770802379,12.414213562373096,138,202.97435897435898,226
830,59.5,8.703892974511014,68.21091459455167,10.78690918952597,7.452183655480214,31.435028842544405,132,204.42436974789916,218
831,6.25,2.8209479177387813,61.981401277536385,3.457143306785701,2.28879010753429,8.121320343559642,158,214.52,232
832,29.0,6.076507779746499,-83.95002537833055,8.690671800235322,4.373997605371487,21.77817459305202,133,154.1206896551724,171
833,37.0,6.863662517577698,-19.70019045217865,7.735708237132664,7.141232649405713,25.48528137423857,135,217.22972972972974,236
834,37.0,6.863662517577698,-71.45052974234194,12.286850485886088,4.183897681005289,27.899494936611664,132,202.51351351351352,216
835,30.5,6.231677632421503,6.919304668514301,7.343075042516214,5.625170073722083,21.192388155425114,141,183.30327868852459,197
836,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,144,170.33333333333334,198
837,18.5,4.853342309955121,-79.75337504892816,8.504676078296345,2.8955387078755175,18.949747468305834,137,203.63513513513513,217
838,35.5,6.723094811029982,-82.02570381678939,7.778748180331791,6.200503557974629,23.192388155425117,133,159.30985915492957,176
839,6.0,2.763953195770684,-90.00003218077504,3.7859388972001824,2.0207259421636903,8.414213562373096,162,180.5,199
840,12.25,3.949327084834294,68.66078984554571,5.272120521946492,3.0494735844233243,12.828427124746188,156,223.30612244897958,248
841,23.0,5.4115163798060095,-85.32813105261535,10.365538682326234,3.0070542580773023,21.63908729652601,147,239.30434782608697,255
842,50.25,7.998767850296815,-87.52980624024322,9.412464962108201,6.8472999209947005,26.485281374238568,134,218.5771144278607,238
843,29.25,6.102643417692329,-85.86099801940937,8.669795449221475,4.88498350517108,22.65685424949238,137,155.52136752136752,167
844,5.25,2.5854414729132054,-74.18200852550481,3.321947097894845,1.9688148985210256,7.414213562373095,145,202.71428571428572,233
845,31.0,6.282549314314218,89.62951712865073,8.694736003727899,4.843643157880074,22.071067811865476,132,173.0483870967742,183
846,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,133,136.66666666666666,142
847,37.5,6.90988298942671,79.5562629873073,10.581088189169963,4.6786174904448865,25.192388155425114,141,229.5,247
848,4.75,2.4592453796829674,-12.820507496305092,2.7723491168885444,2.1478476084574902,6.707106781186548,132,151.8421052631579,171
849,16.25,4.54864184146723,-30.403372209232362,5.891026838253304,3.766647993973674,15.949747468305832,132,203.2923076923077,225
850,6.0,2.763953195770684,-76.71750184288084,3.863095038577592,1.9347256626157256,8.414213562373096,138,185.25,201
851,8.5,3.2897623212397704,-69.18325506915903,4.220481986281426,2.680957255062823,10.414213562373096,168,197.44117647058823,215
852,22.5,5.352372348458314,71.4986431528151,7.5125479308899585,3.900129010959816,18.656854249492383,138,221.04444444444445,236
853,12.25,3.949327084834294,-66.90327921021574,6.303163717198968,2.5444466563163686,13.65685424949238,143,222.91836734693877,250
854,14.75,4.3336224206596095,82.15026869293135,6.448077724388508,2.998228157759921,14.949747468305834,143,222.83050847457628,242
855,29.0,6.076507779746499,-82.88704022446473,7.4849632184198125,4.986903042630338,20.071067811865476,132,191.41379310344828,208
856,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,149,196.77777777777777,220
857,20.0,5.046265044040321,67.84383954982692,6.369702007645578,4.185767114137612,17.363961030678926,137,179.2875,193
858,10.75,3.6996385101659595,85.10240252144966,6.55208895625546,2.0610832898511293,13.414213562373096,139,181.04651162790697,197
859,6.25,2.8209479177387813,-81.43935430417348,4.267928963477075,1.9330758812611304,8.517766952966369,184,243.52,255
860,4.75,2.4592453796829674,-77.17952468446995,2.7723491168885444,2.1478476084574902,6.707106781186548,162,190.52631578947367,207
861,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,213,228.33333333333334,238
862,23.0,5.4115163798060095,-80.68115259010865,7.548517458364795,4.218851995279947,19.071067811865476,137,181.58695652173913,217
863,43.5,7.442171739215616,61.819865784162424,10.175390057163,5.9710582426577385,28.020815280171306,136,228.04022988505747,251
864,21.0,5.170882945826411,-82.50142109502998,8.889299857149037,3.135031197938607,20.071067811865476,138,216.71428571428572,248
865,54.0,8.291859587312052,-73.32484424389192,9.888436877298945,7.15951092218849,29.020815280171306,133,219.4537037037037,237
866,6.75,2.9316150714175193,-86.20270913869315,3.9058627769347574,2.189433416161564,8.707106781186548,156,207.37037037037038,224
867,21.0,5.170882945826411,49.21605359490258,6.554433737516375,4.352163349203342,17.77817459305202,138,190.39285714285714,206
868,43.0,7.399277020331919,-77.88666992461674,8.816843189038236,6.3781077391672305,25.606601717798213,133,214.08139534883722,235
869,31.0,6.282549314314218,-64.92984328565083,8.55073176057741,5.423886535647367,23.65685424949238,132,163.06451612903226,181
870,58.75,8.6488625410045,-86.84625800078688,12.039527741824534,7.0925277662542054,34.14213562373095,135,209.10638297872342,238
871,39.75,7.1141599576634995,84.22858960043591,11.01510080863418,4.843414304218246,26.899494936611664,135,218.1823899371069,240
872,52.0,8.136857890256438,74.07701592102511,8.517208771172223,7.850510113247917,26.899494936611667,134,160.9375,180
873,3.75,2.1850968611841584,-90.00003218077504,2.8284271247461903,1.632993161855452,6.0,142,182.4,204
874,6.5,2.876813695875796,83.30743824389562,3.9023902571945728,2.1197272871001918,8.707106781186548,139,182.46153846153845,193
875,13.0,4.068428945128219,-49.446292034339955,4.913162542688618,3.437076744999302,12.82842712474619,139,236.48076923076923,255
876,22.25,5.322553886092406,59.97846248995171,6.5911363373969225,4.48132059134289,17.82842712474619,134,161.61797752808988,173
877,10.5,3.656366395715726,69.0293734694695,4.859709707085703,2.762315531530893,11.242640687119284,150,206.3095238095238,225
878,5.25,2.5854414729132054,-85.55210210552355,3.2467678195469545,2.0510480359275354,7.414213562373095,134,161.42857142857142,181
879,46.0,7.653039857325812,-31.062257093657337,10.031973176885444,6.146966685565286,27.4350288425444,133,211.1304347826087,240
880,10.0,3.5682482323055424,66.9070380019694,4.838144230455253,2.7735104840819598,11.517766952966369,132,166.65,181
881,3.0,1.9544100476116797,-0.0,2.23606797749979,1.632993161855452,5.0,133,153.25,166
882,17.75,4.753945931439391,53.691934741916604,5.813737066863451,4.130016633568601,15.656854249492381,138,193.30985915492957,211
883,60.5,8.77673016883152,-89.3859305826619,11.675916634173126,7.119440014278514,38.31370849898476,138,238.1900826446281,255
884,7.25,3.0382538898732494,-48.07593887986968,3.7342368139929247,2.44040863854482,8.82842712474619,150,205.51724137931035,238
885,4.5,2.393653682408596,72.70388165253861,2.8306637414376574,2.0244638534736237,6.707106781186548,136,143.55555555555554,152
886,15.25,4.406461512053774,72.88670197588038,6.558898449711642,3.024123516412946,14.949747468305834,133,165.88524590163934,180
887,13.0,4.068428945128219,-6.17993242772922,6.338200469665754,2.8785056345238615,14.242640687119286,147,225.84615384615384,254
888,19.75,5.014626706796775,-83.1906630948101,6.048514159840677,4.393772606134252,16.242640687119284,140,203.9746835443038,218
889,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,174,216.0,245
890,11.25,3.7846987830302403,86.06766667318459,4.4192543706554295,3.274754642402497,11.414213562373096,143,228.33333333333334,248
891,38.25,6.978639737521917,-54.5589078678967,7.506744688571513,6.955582421810143,25.192388155425114,134,223.54248366013073,244
892,23.5,5.4700209598571305,83.227700741848,8.4745693872329,3.6465824060007908,19.65685424949238,136,223.03191489361703,244
893,10.75,3.6996385101659595,49.89141850679758,5.390695833673229,2.7740586030187777,12.949747468305832,134,201.86046511627907,227
894,20.5,5.108953969950291,28.25348174045175,5.5037585584561235,4.89953965644055,16.363961030678926,138,204.1341463414634,224
895,7.5,3.0901936161855166,84.49825978766432,4.389553697323936,2.144407844831863,9.414213562373096,134,192.23333333333332,211
896,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,175,210.88888888888889,222
897,84.25,10.357143990692485,-82.60784006256479,22.47024434969905,6.596282704406856,52.67766952966369,133,208.62611275964392,236
898,16.5,4.583497844237541,-77.89295668590987,5.925266473729955,3.804633918507705,15.65685424949238,134,205.72727272727272,220
899,48.25,7.837972188868215,89.18636822308171,10.019521340011613,6.201548315806086,26.31370849898476,133,178.7979274611399,195
900,4.5,2.393653682408596,-23.109445880672464,2.7712967309465366,1.9966424556519138,6.414213562373095,181,235.05555555555554,249
901,8.75,3.3377905890622728,-3.179831256857544,4.2068942444127915,2.6619005025947695,10.121320343559642,139,194.4,213
902,26.75,5.836022431559495,-25.898765411346876,6.854345530669252,5.134631485286985,19.65685424949238,134,193.02803738317758,207
903,5.25,2.5854414729132054,-15.81802365527022,3.3219470978948453,1.9688148985210259,7.414213562373095,132,134.04761904761904,139
904,5.5,2.6462837142006137,-90.00003218077504,6.324555320336759,1.0,11.0,133,201.95454545454547,215
905,14.5,4.296739856991561,-35.67140920029092,5.364028316465411,3.5747621400714604,13.82842712474619,132,221.20689655172413,241
906,6.25,2.8209479177387813,-64.22559532937187,4.106729631047696,1.9213463345984396,8.82842712474619,133,173.76,194
907,36.0,6.770275002573076,42.38870276901617,8.341036564364215,6.1142847381439225,24.60660171779821,137,221.13194444444446,244
908,6.75,2.9316150714175193,-82.80933231409405,3.2905524642407284,2.6174943793174186,8.414213562373096,143,168.03703703703704,175
909,3.5,2.111004122822376,-35.514808794575224,2.370123448722665,1.8830242016334868,5.707106781186548,132,195.42857142857142,212
910,20.25,5.077706251929807,-78.40985340652294,6.740385489568581,4.033003267502588,16.94974746830583,143,198.76543209876544,214
911,14.0,4.222008245644752,-81.04775969890109,6.564941477346628,2.801650849168489,14.535533905932738,132,215.92857142857142,238
912,13.0,4.068428945128219,84.74941218479461,4.738034816959934,3.555871389624156,12.535533905932738,138,217.73076923076923,238
913,66.25,9.18434101276213,57.940324942410456,15.261308128427247,6.443273295151635,36.8492424049175,132,217.8377358490566,250
914,3.75,2.1850968611841584,-90.00003218077504,2.8284271247461903,1.632993161855452,6.0,152,208.93333333333334,226
915,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,159,193.25,207
916,68.5,9.338999347593866,20.974424498127316,12.222666036687679,9.068411671194045,40.09188309203678,132,177.26642335766422,221
917,24.5,5.585191925620057,79.96457099666411,7.529571868242378,4.227674019393026,18.77817459305202,144,209.8877551020408,228
918,109.5,11.807613228273542,83.41399534213483,17.35907098495623,9.738973070670085,51.09188309203679,134,222.28310502283105,242
919,3.75,2.1850968611841584,-90.00003218077504,2.8284271247461903,1.632993161855452,6.0,136,146.4,157
920,45.75,7.632215220473915,50.679953318858225,12.856843318093695,5.200834446647759,32.19238815542512,139,231.12568306010928,255
921,42.5,7.356132180109627,-79.94880971695723,12.679743181491585,4.88976355173766,31.020815280171306,132,186.51176470588234,233
922,7.5,3.0901936161855166,64.93678337498051,3.7595733890708094,2.7233653892384218,9.535533905932738,143,172.43333333333334,189
923,4.75,2.4592453796829674,-77.17952468446995,2.772349116888545,2.1478476084574902,6.707106781186548,137,196.52631578947367,220
924,19.75,5.014626706796775,-71.90521289256482,6.763263117270402,3.776097579446122,16.535533905932738,132,190.48101265822785,220
925,10.25,3.6125759969217834,71.84477710446994,6.248918876495617,2.3270200671933865,14.035533905932738,141,209.5121951219512,229
926,37.0,6.863662517577698,84.23149085111969,8.083076653371382,5.87554081968891,22.77817459305202,142,218.43243243243242,233
927,22.5,5.352372348458314,-39.50048441035167,6.021190958489349,4.8136200986110005,16.949747468305834,132,149.48888888888888,169
928,3.5,2.111004122822376,-45.00001609038752,2.390457218668787,1.7728105208558367,5.414213562373095,135,196.92857142857142,214
929,6.75,2.9316150714175193,66.02365383386463,3.364085415899025,2.578228853226751,8.414213562373096,159,230.74074074074073,246
930,16.0,4.51351666838205,82.56740183568853,7.03785186886532,3.210682921421691,16.949747468305834,147,213.671875,232
931,3.0,1.9544100476116797,-0.0,2.23606797749979,1.632993161855452,5.0,173,177.58333333333334,183
932,4.5,2.393653682408596,-72.70388165253861,2.8306637414376574,2.0244638534736237,6.707106781186548,135,180.88888888888889,205
933,14.5,4.296739856991561,-47.080938475036824,5.257156935521009,3.533043458571479,13.071067811865476,140,201.44827586206895,217
934,3.0,1.9544100476116797,-0.0,2.23606797749979,1.632993161855452,5.0,134,203.75,219
935,19.25,4.950743503369154,-82.57839771726564,7.162996750374519,3.6686822270284996,17.535533905932738,148,208.64935064935065,222
936,53.5,8.253382073025046,35.5092265952081,9.587235674857626,7.243311170488171,27.899494936611667,142,201.49532710280374,215
937,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,132,135.11111111111111,141
938,24.0,5.527906391541368,35.67911681071946,7.975345721883758,4.131699886216782,19.77817459305202,142,189.94791666666666,207
939,17.5,4.720348719413148,16.57389596765153,5.393629362031169,4.347481919425211,15.949747468305832,142,224.61428571428573,249
